# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
288000 0.485 2.153
289000 0.497 2.239
290000 0.499 2.109
291000 0.476 2.16
292000 0.474 2.11
293000 0.473 2.183
294000 0.468 2.182
295000 0.482 2.12
296000 0.477 2.169
297000 0.475 2.135
298000 0.477 2.089
299000 0.497 2.187
300000 0.463 2.101
301000 0.469 2.129
302000 0.499 2.135
303000 0.479 2.119
304000 0.487 2.195
305000 0.472 2.138
306000 0.478 2.124
307000 0.478 2.066
308000 0.478 2.132
309000 0.497 2.169
310000 0.479 2.173
311000 0.518 2.156
312000 0.492 2.16
313000 0.482 2.138
314000 0.473 2.139
315000 0.485 2.173
316000 0.513 2.205
317000 0.49 2.13
318000 0.478 2.128
319000 0.487 2.177
320000 0.481 2.169
321000 0.463 2.161
322000 0.473 2.175
323000 0.5 2.226
324000 0.469 2.115
325000 0.486 2.186
326000 0.506 2.196
327000 0.509 2.197
328000 0.474 2.16
329000 0.496 2.222
330000 0.473 2.147
331000 0.466 2.098
332000 0.481 2.231
333000 0.501 2.203
334000 0.477 2.113
335000 0.444 2.16
336000 0.48 2.09
337000 0.48 2.176
338000 0.463 2.171
339000 0.504 2.218
340000 0.502 2.21
341000 0.482 2.144
342000 0.47 2.098
343000 0.498 2.148
344000 0.484 2.182
345000 0.511 2.157
346000 0.46 2.168
347000 0.479 2.169
348000 0.493 2.155
349000 0.5 2.138
350000 0.495 2.229
351000 0.456 2.108
352000 0.479 2.175
353000 0.488 2.198
354000 0.514 2.172
355000 0.511 2.181
356000 0.483 2.235
357000 0.5 2.154
358000 0.485 2.203
359000 0.505 2.207
360000 0.478 2.154
361000 0.481 2.259
362000 0.485 2.171
363000 0.499 2.175
364000 0.466 2.16
365000 0.477 2.147
366000 0.489 2.147
367000 0.472 2.178
368000 0.491 2.161
369000 0.499 2.265
370000 0.498 2.192
371000 0.464 2.176
372000 0.501 2.163
373000 0.503 2.135
374000 0.507 2.251
375000 0.504 2.244
376000 0.514 2.184
377000 0.447 2.169
378000 0.492 2.16
379000 0.496 2.154
380000 0.465 2.143
381000 0.484 2.13
382000 0.481 2.187
383000 0.475 2.179
384000 0.487 2.145
385000 0.494 2.244
386000 0.487 2.151
387000 0.488 2.148
388000 0.464 2.124
389000 0.473 2.189
390000 0.477 2.195
391000 0.479 2.175
392000 0.456 2.178
393000 0.487 2.219
394000 0.49 2.14
395000 0.461 2.211
396000 0.485 2.153
397000 0.491 2.201
398000 0.511 2.191
399000 0.466 2.192
400000 0.492 2.21
401000 0.498 2.246
402000 0.454 2.14
403000 0.498 2.166
404000 0.476 2.16
405000 0.467 2.105
406000 0.479 2.183
