# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
166000 0.182 0.714 1.698 3.292
167000 0.206 0.748 1.702 3.332
168000 0.196 0.628 1.608 3.23
169000 0.196 0.702 1.706 3.342
170000 0.23 0.69 1.602 3.264
171000 0.202 0.8 1.78 3.412
172000 0.194 0.71 1.7 3.342
173000 0.182 0.676 1.692 3.258
174000 0.2 0.726 1.642 3.2
175000 0.186 0.646 1.698 3.314
176000 0.222 0.686 1.59 3.216
177000 0.216 0.696 1.628 3.1
178000 0.168 0.66 1.562 3.056
179000 0.184 0.666 1.558 3.068
180000 0.218 0.674 1.63 3.204
181000 0.208 0.736 1.702 3.174
182000 0.196 0.738 1.71 3.33
183000 0.252 0.76 1.704 3.298
184000 0.19 0.686 1.652 3.258
185000 0.212 0.664 1.636 3.254
186000 0.208 0.78 1.766 3.296
187000 0.212 0.68 1.662 3.26
188000 0.208 0.736 1.698 3.242
189000 0.23 0.732 1.698 3.346
190000 0.22 0.746 1.728 3.34
191000 0.224 0.716 1.668 3.318
192000 0.216 0.736 1.756 3.336
193000 0.176 0.698 1.668 3.37
194000 0.192 0.672 1.66 3.296
195000 0.184 0.668 1.67 3.178
196000 0.224 0.682 1.59 3.168
197000 0.194 0.698 1.67 3.188
198000 0.256 0.792 1.714 3.288
199000 0.216 0.762 1.676 3.32
200000 0.22 0.686 1.71 3.232
201000 0.156 0.662 1.612 3.112
202000 0.2 0.688 1.618 3.336
203000 0.232 0.744 1.768 3.328
204000 0.186 0.676 1.702 3.256
205000 0.224 0.764 1.792 3.34
206000 0.204 0.72 1.768 3.256
207000 0.176 0.684 1.592 3.28
208000 0.224 0.764 1.746 3.252
209000 0.22 0.688 1.724 3.278
210000 0.214 0.732 1.67 3.186
211000 0.21 0.732 1.72 3.296
212000 0.218 0.642 1.62 3.27
213000 0.208 0.722 1.668 3.272
214000 0.222 0.704 1.67 3.286
215000 0.166 0.644 1.556 3.224
216000 0.182 0.652 1.64 3.174
217000 0.212 0.658 1.584 3.272
218000 0.23 0.72 1.694 3.226
219000 0.248 0.726 1.658 3.28
220000 0.244 0.764 1.762 3.276
221000 0.174 0.708 1.728 3.364
222000 0.208 0.748 1.674 3.288
223000 0.198 0.726 1.682 3.182
224000 0.204 0.702 1.666 3.28
225000 0.264 0.762 1.682 3.182
226000 0.208 0.718 1.624 3.196
227000 0.19 0.728 1.656 3.282
228000 0.198 0.676 1.564 3.164
229000 0.182 0.616 1.57 3.188
230000 0.21 0.654 1.628 3.288
231000 0.224 0.726 1.7 3.26
232000 0.2 0.672 1.672 3.35
233000 0.21 0.708 1.68 3.32
234000 0.228 0.724 1.75 3.402
235000 0.202 0.704 1.834 3.444
236000 0.218 0.726 1.664 3.256
237000 0.234 0.724 1.708 3.326
238000 0.208 0.754 1.698 3.246
239000 0.214 0.694 1.646 3.262
240000 0.212 0.748 1.682 3.226
241000 0.224 0.73 1.728 3.28
