# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
200 2.43296 1.54268 1.98069
300 2.43296 1.54268 1.98069
400 2.43296 1.54268 1.98069
500 2.43296 1.54268 1.98069
600 2.43296 1.54268 1.98069
700 2.43296 1.54268 1.98069
800 2.43296 1.54268 1.98069
900 2.43296 1.54268 1.98069
1000 2.43296 1.54268 1.98069
1100 2.43296 1.54268 1.98069
1200 2.43296 1.54268 1.98069
1300 2.43296 1.54268 1.98069
1400 2.43296 1.54268 1.98069
1500 2.43296 1.54268 1.98069
1600 2.43296 1.54268 1.98069
1700 2.43296 1.54268 1.98069
1800 2.43296 1.54268 1.98069
1900 2.43296 1.54268 1.98069
2000 2.43296 1.54268 1.98069
2100 2.43296 1.54268 1.98069
2200 2.43296 1.54268 1.98069
2300 2.43296 1.54268 1.98069
2400 2.43296 1.54268 1.98069
2500 2.43296 1.54268 1.98069
2600 2.43296 1.54268 1.98069
2700 2.43296 1.54268 1.98069
2800 2.43296 1.54268 1.98069
2900 2.43296 1.54268 1.98069
3000 2.43296 1.54268 1.98069
3100 2.43296 1.54268 1.98069
3200 2.43296 1.54268 1.98069
3300 2.43296 1.54268 1.98069
3400 2.43296 1.54268 1.98069
3500 2.43296 1.54268 1.98069
3600 2.43296 1.54268 1.98069
3700 2.43296 1.54268 1.98069
3800 2.43296 1.54268 1.98069
3900 2.43296 1.54268 1.98069
4000 2.43296 1.54268 1.98069
4100 2.43296 1.54268 1.98069
4200 2.43296 1.54268 1.98069
4300 2.43296 1.54268 1.98069
4400 2.43296 1.54268 1.98069
4500 2.43296 1.54268 1.98069
4600 2.43296 1.54268 1.98069
4700 2.43296 1.54268 1.98069
4800 2.43296 1.54268 1.98069
4900 2.43296 1.54268 1.98069
5000 2.43296 1.54268 1.98069
5100 2.43296 1.54268 1.98069
5200 2.43296 1.54268 1.98069
5300 2.43296 1.54268 1.98069
5400 2.43296 1.54268 1.98069
5500 2.43296 1.54268 1.98069
5600 2.43296 1.54268 1.98069
5700 2.43296 1.54268 1.98069
5800 2.43296 1.54268 1.98069
5900 2.43296 1.54268 1.98069
6000 2.43296 1.54268 1.98069
6100 2.43296 1.54268 1.98069
6200 2.43296 1.54268 1.98069
6300 2.43296 1.54268 1.98069
6400 2.43296 1.54268 1.98069
6500 2.43296 1.54268 1.98069
6600 2.43296 1.54268 1.98069
6700 2.43296 1.54268 1.98069
6800 2.43296 1.54268 1.98069
6900 2.43296 1.54268 1.98069
7000 2.43296 1.54268 1.98069
7100 2.43296 1.54268 1.98069
7200 2.43296 1.54268 1.98069
7300 2.43296 1.54268 1.98069
7400 2.43296 1.54268 1.98069
7500 2.43296 1.54268 1.98069
7600 2.43296 1.54268 1.98069
7700 2.43296 1.54268 1.98069
7800 2.43296 1.54268 1.98069
7900 2.43296 1.54268 1.98069
8000 2.43296 1.54268 1.98069
8100 2.43296 1.54268 1.98069
8200 2.43296 1.54268 1.98069
8300 2.43296 1.54268 1.98069
8400 2.43296 1.54268 1.98069
8500 2.43296 1.54268 1.98069
8600 2.43296 1.54268 1.98069
8700 2.43296 1.54268 1.98069
8800 2.43296 1.54268 1.98069
8900 2.43296 1.54268 1.98069
9000 2.43296 1.54268 1.98069
9100 2.43296 1.54268 1.98069
9200 2.43296 1.54268 1.98069
9300 2.43296 1.54268 1.98069
9400 2.43296 1.54268 1.98069
9500 2.43296 1.54268 1.98069
