time,fx,fy,fz
10000.0,-0.423262,11.6325,57.5791
20000.0,-59.3607,79.4498,-36.5619
30000.0,86.4589,-59.7623,21.8652
40000.0,-43.1242,-16.3607,-59.4058
50000.0,158.486,-40.9363,110.989
60000.0,-92.0863,-49.3165,-201.754
70000.0,-40.8433,-10.9472,-16.2206
80000.0,5.79174,6.79074,156.35
90000.0,-90.6932,114.469,-109.715
100000.0,32.7597,-25.2234,6.69292
110000.0,108.668,57.3455,83.1861
120000.0,-37.7431,-60.6518,-14.1013
130000.0,44.3367,-95.5599,-20.6993
140000.0,67.1154,-209.904,47.7365
150000.0,-54.8768,-61.6197,31.1609
160000.0,20.9911,-111.998,61.3179
170000.0,-90.5342,56.1824,-53.8013
180000.0,-29.4192,76.6125,-66.1181
190000.0,21.6969,96.4518,54.7788
200000.0,-69.8728,15.7456,25.9542
210000.0,80.1302,-5.16381,1.70033
220000.0,22.1866,-128.24,-34.4328
230000.0,-8.01765,24.6126,152.923
240000.0,-10.3196,30.4382,193.026
250000.0,16.7244,-52.9995,165.897
260000.0,171.951,79.3803,-42.8545
270000.0,102.009,-16.401,-15.4336
280000.0,57.063,15.472,-27.5008
290000.0,-191.007,-94.382,-89.163
300000.0,-110.495,-56.6166,103.891
310000.0,-47.8107,-0.270847,-20.4004
320000.0,-96.6135,-8.94036,5.31019
330000.0,-178.282,-105.052,59.6371
340000.0,-49.4582,-91.4735,113.806
350000.0,45.5522,56.9738,-58.698
360000.0,-71.619,-37.0,-113.148
370000.0,48.5364,139.755,-35.9532
380000.0,45.8489,-247.802,-20.1003
390000.0,-39.4067,-12.366,84.2853
400000.0,-89.3035,25.1794,21.2677
410000.0,7.28513,-112.973,-30.7011
420000.0,65.4014,-30.0472,-57.0639
430000.0,-146.851,-69.0075,-14.0492
440000.0,108.355,-63.0823,111.351
450000.0,39.1198,-85.0438,-92.0359
460000.0,-20.4374,178.567,81.4908
470000.0,-28.1381,200.842,-188.886
480000.0,-28.6793,-142.272,2.78684
490000.0,77.2447,97.4013,233.72
500000.0,82.3283,113.023,115.914
510000.0,41.6688,108.449,-38.0742
520000.0,101.079,-82.9464,-2.80654
530000.0,14.2859,-0.96738,32.2886
540000.0,55.9915,-42.609,86.7171
550000.0,83.1523,-127.262,-119.053
560000.0,16.9072,-147.1,-9.94968
570000.0,-144.324,3.50341,42.7072
580000.0,-18.3146,-8.98945,108.679
590000.0,34.4523,-33.4006,-98.6629
600000.0,-40.4895,51.2881,-152.278
610000.0,-107.979,56.0691,61.7963
620000.0,2.66746,31.3552,-28.887
630000.0,-117.308,-72.5673,-146.841
640000.0,-0.819756,-68.9623,92.2217
650000.0,-79.387,-36.0358,-69.3174
660000.0,29.5725,4.0562,57.9843
670000.0,38.9848,95.8813,20.9075
680000.0,-34.7086,-90.0439,-75.4474
690000.0,25.6817,16.2612,80.7386
700000.0,62.8549,-20.8907,23.5015
710000.0,-10.1498,98.3585,-102.802
720000.0,-214.95,-219.192,37.6022
730000.0,-79.9289,-59.2893,-0.0444401
740000.0,-22.1805,127.455,186.267
750000.0,-11.3018,-43.3405,-15.3195
760000.0,-31.7315,-57.808,-35.6269
770000.0,-67.6133,-19.8337,-107.64
780000.0,29.6546,-15.508,30.3684
790000.0,41.269,112.247,-9.41487
800000.0,-28.8572,-179.822,67.4959
810000.0,-41.6205,-111.294,72.5463
820000.0,-3.74797,5.11845,-6.62319
830000.0,79.3216,-1.33984,11.5888
840000.0,-23.4559,-34.8972,-120.277
850000.0,-34.2304,101.878,-167.918
860000.0,94.585,69.299,-45.2765
870000.0,-32.9555,2.37573,41.6412
880000.0,-45.0197,-14.9928,40.4965
890000.0,-137.451,13.9557,-56.5975
900000.0,37.6497,-11.6364,-82.0418
910000.0,30.3404,85.9998,-22.6839
920000.0,146.041,17.1698,37.192
930000.0,66.0481,-89.4555,-8.18104
940000.0,-143.403,68.0157,-24.1108
950000.0,-43.8967,114.47,46.4225
960000.0,-232.878,128.192,-130.068
970000.0,55.4008,16.3157,48.3553
980000.0,-57.1929,-62.8523,-102.949
990000.0,78.3948,-31.5858,4.8611
1000000.0,-73.0577,65.242,28.4326
