time,fx,fy,fz
10000.0,-97.1654,54.597,47.0441
20000.0,-30.9056,-15.2949,-39.7178
30000.0,-39.3281,-15.6471,-133.077
40000.0,-59.9778,-27.6867,-89.9636
50000.0,139.549,-32.8902,-123.002
60000.0,-21.6875,8.06657,56.9859
70000.0,26.2613,59.8989,-218.908
80000.0,169.915,-93.8033,175.673
90000.0,-37.986,-52.8107,-89.9753
100000.0,-83.62,58.6403,-95.4269
110000.0,121.945,-104.689,48.1084
120000.0,-45.6504,-61.0274,-5.02125
130000.0,84.6922,66.8162,61.1844
140000.0,100.792,75.3325,61.898
150000.0,155.636,56.4762,-144.186
160000.0,-58.2816,73.7186,-147.231
170000.0,-71.7492,-9.35573,33.1011
180000.0,2.72342,54.8271,-152.325
190000.0,-22.199,-78.3149,0.791107
200000.0,55.4125,1.35895,119.11
210000.0,-34.5729,-17.0827,16.342
220000.0,-6.69193,-54.3038,-84.7926
230000.0,-71.9885,34.3261,51.1539
240000.0,-13.2613,66.4242,14.681
250000.0,-142.726,44.7128,-69.524
260000.0,1.76416,-111.886,2.95024
270000.0,-60.7379,116.1,46.6342
280000.0,168.769,-69.3044,141.648
290000.0,-91.0764,35.6686,-38.2818
300000.0,-26.205,28.9419,113.395
310000.0,86.3621,-178.758,-28.066
320000.0,-25.7451,-62.8742,-30.8885
330000.0,55.8109,57.0908,-63.1107
340000.0,5.65311,16.2491,92.9718
350000.0,-106.781,158.997,-43.7825
360000.0,-49.8334,-233.508,-19.8025
370000.0,27.4761,69.0516,26.096
380000.0,3.08342,56.155,57.0809
390000.0,-78.0185,-73.2351,-15.7588
400000.0,-32.0631,124.026,-39.8103
410000.0,-73.1198,-15.4185,12.1224
420000.0,-23.3633,-122.544,-20.7775
430000.0,25.9777,-16.2304,29.9169
440000.0,69.9634,-17.5113,59.8103
450000.0,4.70305,-53.1539,11.7762
460000.0,-212.23,-45.5111,12.0448
470000.0,56.2651,-64.1638,-106.19
480000.0,-37.0297,-73.3447,-16.795
490000.0,38.1685,43.9694,-5.62935
500000.0,-54.9447,42.0474,46.7871
510000.0,-99.8426,-25.4261,38.0438
520000.0,152.959,-81.9717,69.336
530000.0,-50.7486,-93.3881,-218.185
540000.0,-77.5069,-107.29,-106.672
550000.0,61.7468,-62.3168,6.79248
560000.0,42.0062,-137.746,212.617
570000.0,-114.383,65.5151,-19.7043
580000.0,-114.679,-37.1749,-92.7363
590000.0,-33.8625,-18.4611,-42.058
600000.0,-42.4887,40.9645,87.8651
610000.0,99.4614,-101.84,-7.83343
620000.0,-19.9139,83.8148,29.7041
630000.0,-75.5281,52.6387,26.7054
640000.0,26.0186,38.4269,-57.8906
650000.0,92.8131,109.889,144.62
660000.0,130.438,-58.6014,-74.7252
670000.0,4.91089,13.0971,13.7941
680000.0,-50.0883,104.616,89.7032
690000.0,-120.123,73.5161,22.5159
700000.0,-37.9931,-162.017,-137.033
710000.0,-10.7577,78.2083,24.7325
720000.0,124.515,12.1664,-137.121
730000.0,-65.5174,-28.4579,-111.184
740000.0,-174.554,115.909,-139.198
750000.0,59.2963,-49.1367,-52.7617
760000.0,-85.2207,-79.8508,73.3437
770000.0,3.85161,92.9596,13.8843
780000.0,10.109,-87.0807,-121.381
790000.0,45.5543,-20.2776,6.39082
800000.0,-18.0373,-59.654,53.048
810000.0,27.8634,-73.025,54.3458
820000.0,23.1833,-21.9533,39.9236
830000.0,-13.075,52.4511,31.0599
840000.0,-159.666,55.0369,-42.1291
850000.0,-98.397,-52.3684,-57.4672
860000.0,-111.163,67.5657,59.1413
870000.0,-34.2614,-2.1598,-46.5093
880000.0,-78.6734,-75.4866,41.3682
890000.0,22.4908,-6.71742,-133.42
900000.0,19.5152,-38.794,36.935
910000.0,-9.10085,-71.6416,186.098
920000.0,-1.93311,92.9384,-32.1826
930000.0,3.38475,10.5435,-6.02398
940000.0,-68.7918,-42.9685,-32.9426
950000.0,-43.3183,34.3622,-22.7683
960000.0,98.5963,21.1353,-47.9679
970000.0,-58.0138,78.1734,84.5431
980000.0,-159.674,-13.3932,212.627
990000.0,-152.67,-3.04585,-8.68703
1000000.0,76.3785,-111.369,-122.119
