time,fx,fy,fz
10000.0,-21.059,-3.76007,-31.843
20000.0,-13.5922,-166.594,162.21
30000.0,40.0523,-15.8734,129.88
40000.0,-240.621,6.20677,-81.0936
50000.0,66.738,-21.6833,-30.4914
60000.0,-247.027,17.1987,2.09464
70000.0,80.4593,-54.3412,-123.914
80000.0,109.486,-63.5112,-19.5338
90000.0,-70.827,7.83225,11.5182
100000.0,40.8842,36.4544,-129.084
110000.0,-14.8457,143.496,33.8021
120000.0,-148.18,3.59288,-52.1657
130000.0,113.272,-47.2898,69.9217
140000.0,50.417,-57.3045,-35.1004
150000.0,96.634,-90.8911,47.917
160000.0,-94.734,-32.6337,-15.3496
170000.0,-118.966,85.0355,114.101
180000.0,-41.7453,-112.358,-116.043
190000.0,138.105,-3.83283,82.0408
200000.0,-3.73703,-8.49133,-14.3801
210000.0,-29.4122,42.2005,-8.80782
220000.0,-27.7994,65.8212,124.134
230000.0,65.6085,69.2297,-16.5957
240000.0,17.169,-97.3231,-11.7055
250000.0,-48.3299,46.5927,1.1967
260000.0,58.9038,-161.783,106.024
270000.0,-18.2537,-96.5698,-58.9363
280000.0,11.4499,-60.2157,-10.8561
290000.0,-54.3295,36.9886,-92.2773
300000.0,-32.7672,38.3659,-13.5041
310000.0,28.001,38.6574,5.8959
320000.0,-86.7626,-8.83822,87.0103
330000.0,98.3744,10.1358,-68.3306
340000.0,127.621,-273.543,-47.8034
350000.0,143.056,-24.7299,48.5414
360000.0,-83.8398,46.8487,-63.3177
370000.0,-20.4872,15.8461,-13.3089
380000.0,65.7477,-58.8763,23.7654
390000.0,254.015,-0.73911,5.58009
400000.0,-103.511,87.9217,-27.3307
410000.0,-185.584,88.5637,228.402
420000.0,-50.8153,-81.7658,-322.991
430000.0,67.8396,-30.3159,87.0676
440000.0,274.92,-64.2242,-37.509
450000.0,-11.3313,12.2082,-73.7201
460000.0,-94.8511,-47.5211,95.0309
470000.0,-25.4842,87.4118,-156.755
480000.0,44.0214,28.8096,-108.604
490000.0,-110.102,38.48,-12.219
500000.0,2.98135,179.04,-61.6594
510000.0,-63.7232,-69.7608,-265.098
520000.0,-52.0569,171.427,53.9956
530000.0,85.3486,-37.1986,59.1008
540000.0,16.3856,-16.6634,58.6659
550000.0,202.286,20.7395,50.6514
560000.0,39.3175,-37.8008,30.3228
570000.0,-32.5048,-133.843,72.2373
580000.0,-27.9073,132.088,-215.43
590000.0,-65.8084,-24.6399,44.5043
600000.0,-87.5269,0.474778,59.6968
610000.0,-89.4683,183.441,-17.4799
620000.0,48.1567,59.1582,-1.68928
630000.0,98.3543,-36.851,170.522
640000.0,-36.9012,-17.5736,-23.6689
650000.0,-175.998,208.452,17.6241
660000.0,193.167,67.6118,-39.7004
670000.0,-9.58828,-118.348,27.3896
680000.0,4.89996,27.707,50.4074
690000.0,-6.59888,113.394,-1.74323
700000.0,24.3477,73.0497,33.0092
710000.0,-12.6377,-66.8476,-8.62078
720000.0,78.8622,-45.6171,41.0221
730000.0,-97.1766,-31.6072,-193.749
740000.0,-26.9745,58.6973,-87.2539
750000.0,47.4842,-80.0602,-42.8543
760000.0,18.1534,13.7293,-42.597
770000.0,-85.4267,-84.2966,33.1201
780000.0,44.836,10.5564,-87.8107
790000.0,-133.698,28.1838,29.4804
800000.0,89.1638,-103.845,-18.6818
810000.0,-92.489,-33.9858,-51.2841
820000.0,115.628,-55.698,-96.1902
830000.0,26.1558,-39.9368,-69.5553
840000.0,-52.932,32.6356,-53.7717
850000.0,-113.205,-152.033,144.474
860000.0,165.905,-50.3845,350.627
870000.0,-73.1465,-11.9736,-40.3823
880000.0,-124.207,-55.511,36.2877
890000.0,72.9119,111.546,11.2273
900000.0,-173.984,-42.001,-128.007
910000.0,20.2394,3.37298,8.12723
920000.0,-117.882,101.489,64.3693
930000.0,7.56316,37.9353,111.583
940000.0,-155.947,-56.3593,-68.1135
950000.0,66.4706,-35.3363,106.635
960000.0,47.7571,-190.305,130.575
970000.0,-61.2997,-65.3916,59.5461
980000.0,22.6783,-141.094,-43.8361
990000.0,-67.5184,103.363,-34.2525
1000000.0,-196.882,389.691,30.7286
