time,fx,fy,fz
10000.0,76.3974,47.4609,59.3781
20000.0,10.5138,-14.9005,-30.3034
30000.0,149.667,76.3281,-103.691
40000.0,160.735,32.5728,168.17
50000.0,-126.098,32.664,110.945
60000.0,-1.71979,88.022,-40.7191
70000.0,-145.373,-97.8705,100.948
80000.0,-7.80251,-96.8519,89.9185
90000.0,14.3963,-199.322,-49.6696
100000.0,69.4248,5.2062,-77.3665
110000.0,-206.63,-22.1616,-8.19296
120000.0,86.0936,-116.288,-70.6552
130000.0,5.96172,90.8923,-42.9439
140000.0,-154.988,166.134,111.189
150000.0,-137.925,37.8502,13.4481
160000.0,-138.787,31.9675,-28.7662
170000.0,157.578,151.049,165.818
180000.0,90.8189,48.7933,-89.0915
190000.0,53.5385,14.6079,-57.6366
200000.0,-180.138,-9.13544,366.661
210000.0,-155.264,34.5624,-7.75854
220000.0,114.448,-11.6793,-89.5472
230000.0,18.9521,-39.6358,-101.761
240000.0,-38.765,102.748,-17.8121
250000.0,-123.237,-63.7352,-7.32972
260000.0,8.95574,-2.08916,28.806
270000.0,49.1701,17.2877,74.8486
280000.0,29.2665,-60.2462,75.7878
290000.0,-234.312,-46.7778,-80.7624
300000.0,30.0551,-52.0621,32.3873
310000.0,31.808,11.3416,-58.5988
320000.0,74.2837,30.6239,-65.2861
330000.0,-109.435,129.478,-24.8325
340000.0,-17.3288,85.124,296.861
350000.0,252.309,217.162,-48.9968
360000.0,69.6011,-117.938,39.7937
370000.0,-41.1663,50.474,29.0609
380000.0,7.98836,227.112,-88.0459
390000.0,-59.0473,-167.853,55.8144
400000.0,-44.7607,-31.0763,-52.2525
410000.0,-9.74418,-18.2256,83.3404
420000.0,44.3679,-45.8093,-56.2956
430000.0,-34.858,-66.194,197.628
440000.0,-21.7193,9.36786,175.783
450000.0,94.7849,27.0787,81.0694
460000.0,47.7892,-157.539,35.2524
470000.0,116.403,51.9204,45.4575
480000.0,-0.770137,-44.4723,-8.46281
490000.0,-36.8019,-18.5135,17.3276
500000.0,-32.9967,196.497,-110.599
510000.0,104.341,82.59,-20.524
520000.0,-67.7159,135.959,155.95
530000.0,18.5713,-68.6205,-126.546
540000.0,-8.19734,-85.8243,33.3822
550000.0,-49.6657,-18.1955,-63.786
560000.0,48.6399,-26.334,21.5264
570000.0,-86.5274,-85.4041,60.2805
580000.0,-84.9298,-80.7759,-61.9588
590000.0,37.1204,-6.33894,9.48795
600000.0,97.9188,-9.974,-43.4199
610000.0,-31.8459,18.2743,-96.5047
620000.0,-76.0216,83.8782,-59.6913
630000.0,-66.981,-178.628,32.0408
640000.0,-63.1967,77.399,-25.6652
650000.0,260.126,87.645,131.315
660000.0,33.8326,-26.3487,-168.282
670000.0,-39.837,27.9601,-38.3057
680000.0,-150.995,-71.6267,-61.981
690000.0,-15.087,-79.7467,52.6676
700000.0,39.1296,-44.5499,6.27747
710000.0,14.5461,69.4475,39.498
720000.0,-70.9682,-56.4084,55.0969
730000.0,51.0697,-49.0957,30.7893
740000.0,-90.5885,-11.4468,-124.613
750000.0,17.5901,-60.1699,15.8821
760000.0,-52.3831,-24.005,29.4719
770000.0,-247.591,86.5092,-38.429
780000.0,-83.4595,42.2145,-124.645
790000.0,-33.101,-129.824,67.3935
800000.0,-103.547,-108.55,-296.832
810000.0,-202.889,-31.725,101.375
820000.0,-3.69983,24.8799,40.3567
830000.0,4.40895,24.9299,18.4236
840000.0,-92.1072,-18.6081,-99.5372
850000.0,202.938,-150.184,-205.539
860000.0,31.1799,90.8887,319.188
870000.0,-214.926,-268.338,-32.8031
880000.0,-48.1272,-77.4486,44.1061
890000.0,64.8977,47.5278,-9.2688
900000.0,-18.3562,56.4161,47.6896
910000.0,140.629,57.7306,24.0292
920000.0,74.6017,52.2396,19.3375
930000.0,9.67566,185.141,-303.975
940000.0,102.779,180.134,-36.6615
950000.0,-56.0112,32.4329,-82.2845
960000.0,-18.3488,25.2155,43.9544
970000.0,12.5196,22.3187,56.7035
980000.0,30.8631,0.497828,86.7372
990000.0,25.1507,13.2585,129.704
1000000.0,-55.3715,123.962,122.936
