# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
288000 0.152 0.418
289000 0.18 0.486
290000 0.165 0.427
291000 0.151 0.439
292000 0.135 0.473
293000 0.148 0.42
294000 0.138 0.414
295000 0.156 0.462
296000 0.16 0.442
297000 0.169 0.431
298000 0.16 0.51
299000 0.153 0.483
300000 0.149 0.487
301000 0.146 0.408
302000 0.149 0.401
303000 0.144 0.436
304000 0.165 0.487
305000 0.15 0.466
306000 0.139 0.451
307000 0.187 0.509
308000 0.164 0.494
309000 0.153 0.449
310000 0.139 0.423
311000 0.158 0.416
312000 0.148 0.434
313000 0.148 0.554
314000 0.155 0.469
315000 0.155 0.455
316000 0.158 0.416
317000 0.136 0.436
318000 0.173 0.447
319000 0.162 0.464
320000 0.132 0.454
321000 0.161 0.463
322000 0.169 0.473
323000 0.138 0.448
324000 0.17 0.462
325000 0.178 0.452
326000 0.128 0.43
327000 0.162 0.39
328000 0.156 0.434
329000 0.153 0.491
330000 0.149 0.449
331000 0.143 0.439
332000 0.13 0.424
333000 0.148 0.464
334000 0.157 0.497
335000 0.139 0.419
336000 0.17 0.426
337000 0.14 0.45
338000 0.141 0.461
339000 0.147 0.479
340000 0.175 0.483
341000 0.152 0.45
342000 0.146 0.4
343000 0.133 0.445
344000 0.158 0.428
345000 0.157 0.467
346000 0.149 0.467
347000 0.149 0.525
348000 0.165 0.505
349000 0.153 0.511
350000 0.149 0.425
351000 0.131 0.441
352000 0.155 0.485
353000 0.156 0.448
354000 0.153 0.479
355000 0.152 0.498
356000 0.154 0.472
357000 0.161 0.485
358000 0.155 0.449
359000 0.15 0.434
360000 0.145 0.449
361000 0.148 0.494
362000 0.171 0.483
363000 0.16 0.494
364000 0.162 0.47
365000 0.164 0.436
366000 0.16 0.444
367000 0.131 0.503
368000 0.187 0.479
369000 0.141 0.463
370000 0.159 0.487
371000 0.164 0.476
372000 0.152 0.5
373000 0.161 0.475
374000 0.162 0.456
375000 0.179 0.491
376000 0.145 0.441
377000 0.164 0.484
378000 0.151 0.471
379000 0.164 0.478
380000 0.167 0.455
381000 0.153 0.469
382000 0.16 0.534
383000 0.148 0.478
384000 0.17 0.5
385000 0.18 0.448
386000 0.145 0.455
387000 0.167 0.449
388000 0.148 0.49
389000 0.158 0.44
390000 0.147 0.461
391000 0.16 0.428
392000 0.159 0.461
393000 0.169 0.467
394000 0.149 0.467
395000 0.157 0.453
396000 0.149 0.419
397000 0.14 0.488
398000 0.152 0.488
399000 0.166 0.476
400000 0.147 0.471
401000 0.159 0.527
402000 0.172 0.46
403000 0.167 0.527
404000 0.165 0.489
405000 0.154 0.46
406000 0.185 0.505
407000 0.146 0.464
408000 0.16 0.478
409000 0.153 0.451
410000 0.155 0.517
411000 0.154 0.448
412000 0.157 0.467
413000 0.167 0.487
414000 0.142 0.514
415000 0.151 0.513
416000 0.177 0.499
417000 0.156 0.484
418000 0.15 0.478
419000 0.174 0.484
420000 0.143 0.465
421000 0.147 0.451
422000 0.138 0.49
423000 0.16 0.468
424000 0.156 0.48
425000 0.17 0.466
426000 0.169 0.451
427000 0.168 0.508
428000 0.148 0.5
429000 0.187 0.543
430000 0.144 0.466
431000 0.144 0.458
432000 0.165 0.499
433000 0.172 0.48
434000 0.174 0.462
435000 0.189 0.463
436000 0.171 0.529
437000 0.157 0.501
438000 0.169 0.531
439000 0.159 0.453
440000 0.154 0.504
441000 0.173 0.563
442000 0.18 0.498
443000 0.174 0.504
444000 0.156 0.44
445000 0.155 0.461
446000 0.169 0.545
447000 0.168 0.506
448000 0.143 0.449
449000 0.189 0.523
450000 0.173 0.509
451000 0.143 0.461
452000 0.173 0.475
453000 0.183 0.487
454000 0.167 0.517
455000 0.171 0.481
456000 0.161 0.491
457000 0.198 0.514
458000 0.146 0.47
459000 0.149 0.503
460000 0.169 0.497
461000 0.159 0.509
462000 0.21 0.496
463000 0.156 0.536
464000 0.147 0.463
465000 0.167 0.499
466000 0.151 0.463
467000 0.156 0.528
468000 0.154 0.476
469000 0.129 0.441
470000 0.16 0.484
471000 0.163 0.451
472000 0.18 0.494
473000 0.147 0.479
474000 0.166 0.488
475000 0.175 0.473
476000 0.172 0.518
477000 0.145 0.469
478000 0.168 0.466
479000 0.174 0.53
480000 0.151 0.519
481000 0.149 0.473
482000 0.162 0.492
483000 0.175 0.463
484000 0.162 0.522
485000 0.155 0.445
486000 0.157 0.455
487000 0.164 0.496
488000 0.185 0.471
489000 0.167 0.513
490000 0.182 0.492
491000 0.148 0.46
492000 0.168 0.498
493000 0.17 0.468
494000 0.177 0.535
495000 0.183 0.511
