# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
1820000 0 0.08 2.48 6.48
1830000 0 0.12 2.48 6.36
1840000 0 0.2 3.04 6.48
1850000 0 0.16 2.6 6.76
1860000 0 0.12 2.6 6.28
1870000 0 0.08 3.08 6.32
1880000 0 0.04 2.48 6.48
1890000 0 0.16 2.52 6.56
1900000 0 0.2 2.52 6.76
1910000 0 0.24 2.44 6.24
1920000 0 0.04 2.8 6.8
1930000 0 0.16 2.64 6.8
1940000 0 0.08 2.52 6.76
1950000 0 0.16 2.56 6
1960000 0 0.08 2.92 7.2
1970000 0 0.24 2.72 6.24
1980000 0 0.2 2.48 6.84
1990000 0 0.08 2.76 6.36
2000000 0 0.12 2.64 6.36
2010000 0 0.12 2.52 6.36
2020000 0 0.24 2.44 6.76
2030000 0 0.28 2.28 6.6
2040000 0 0.12 2.44 6.8
2050000 0 0.24 2.16 6.32
2060000 0 0.32 2.72 6.24
2070000 0 0.04 2.52 6.4
2080000 0 0.16 2.64 6.72
2090000 0 0.12 2 6.52
2100000 0 0.12 2.6 6.48
2110000 0 0.16 2.64 6.8
2120000 0 0.2 2.4 6.48
2130000 0 0.2 2.56 6.08
2140000 0 0.12 1.96 6.08
2150000 0 0.12 2.8 6.56
2160000 0 0.2 2.4 6.64
2170000 0 0.04 2.16 6.44
2180000 0 0.12 2.64 6.52
2190000 0 0.24 2.76 6.72
2200000 0.04 0.24 2.64 6.76
2210000 0 0.16 2.8 6.36
2220000 0 0.16 2.28 6.12
2230000 0 0.12 2.76 6.72
2240000 0 0.12 2.08 6.56
2250000 0 0.2 2.6 6.72
2260000 0 0.16 2.36 6.32
2270000 0 0.36 2.64 6.24
2280000 0 0.12 2.4 6.32
2290000 0 0.08 2.6 6.48
2300000 0 0.12 2.28 6.12
2310000 0 0.08 3.12 6.68
2320000 0 0.16 2.56 6.08
2330000 0 0.08 2.56 7
2340000 0 0.2 2.4 6.48
2350000 0 0.2 2.72 6.72
2360000 0 0.12 2.76 6.72
2370000 0 0.08 2.8 6.28
2380000 0 0.16 2.64 6.6
2390000 0 0.16 2.56 6.28
2400000 0 0.24 3.4 6.88
2410000 0 0.12 2.6 6.72
2420000 0 0.12 2.84 6.6
2430000 0 0.12 2.64 6.68
2440000 0 0.16 2.8 7.04
2450000 0 0.16 2.64 6.52
2460000 0 0.12 2.92 6.76
2470000 0 0.28 2.44 6.68
2480000 0 0.12 2.16 6.28
2490000 0 0.04 2.96 6.72
2500000 0 0.04 3 6.36
2510000 0 0.12 2.8 6.28
2520000 0 0.08 2.48 6.36
2530000 0 0.16 2.48 6.56
2540000 0 0.04 2.2 6.8
2550000 0 0.12 2.72 6.64
2560000 0 0.04 2.8 6.12
2570000 0 0.2 2.76 6.44
2580000 0 0.04 2.2 6.4
2590000 0 0.08 2.36 6.56
2600000 0 0.16 2.56 6.36
2610000 0 0.16 2.56 6.48
2620000 0 0.28 2.8 6.6
2630000 0 0.08 2.76 6.04
2640000 0 0.08 2.48 6.48
2650000 0 0.12 3 7.32
2660000 0 0.2 2.48 6.08
2670000 0 0.16 2.68 6.28
2680000 0 0.24 2.52 6.24
2690000 0 0.08 3 6.32
2700000 0 0.08 2.56 6.28
2710000 0 0.2 2.48 6.44
2720000 0 0.12 2.44 6.32
2730000 0 0.2 2.72 6.2
2740000 0 0.04 2.64 6.72
2750000 0 0.04 2.56 6.28
2760000 0 0.16 2.72 6.44
2770000 0 0.12 2.6 6.36
2780000 0 0.28 2.6 6
2790000 0 0.16 2.68 6.68
2800000 0 0.12 2.24 6.48
2810000 0 0.16 2.88 6.32
2820000 0 0.04 2.4 6.88
2830000 0 0.08 2.84 6.52
2840000 0 0.2 2.36 6.72
2850000 0 0.08 2.6 6.68
2860000 0 0.28 2.6 7
2870000 0 0.16 2.72 6.4
2880000 0 0.16 2.68 6.84
2890000 0 0.2 2.92 6.32
2900000 0 0.16 2.72 6.2
2910000 0 0.12 2.72 5.92
2920000 0 0.08 2.4 6.2
2930000 0 0.2 2.64 6.28
2940000 0 0.08 2.56 6.4
2950000 0 0.12 3.04 6.56
2960000 0 0.08 2.6 6.32
2970000 0 0.12 2.92 6.44
2980000 0 0.16 2.4 6.44
2990000 0 0.08 2.64 6.52
3000000 0 0.12 2.16 6.28
3010000 0 0.12 2.56 6.68
3020000 0 0.24 2.84 6.8
3030000 0 0.12 3.2 6.84
3040000 0 0.28 2.4 6.2
3050000 0 0.2 3.4 7.28
3060000 0 0.08 3 6.6
3070000 0 0.12 2.48 6.12
3080000 0 0.16 2.28 6.44
3090000 0 0.2 2.56 6.44
3100000 0 0 3 6.36
3110000 0 0.08 2.68 6.6
3120000 0 0.2 2.52 6.92
3130000 0 0.04 3.04 6.08
3140000 0 0.08 2.28 6.28
3150000 0 0.2 2.8 6.4
3160000 0 0.12 2.44 6.12
3170000 0 0.2 2.44 6.16
3180000 0 0.2 2.48 6.12
3190000 0 0.24 2.44 6.36
3200000 0 0.12 2.32 6.2
3210000 0 0.24 2.72 6.72
3220000 0 0.24 2.2 5.76
3230000 0 0.12 2.64 6.32
3240000 0 0.12 2.04 6.68
3250000 0 0.08 2.6 6.28
3260000 0 0.24 2.48 6.6
3270000 0 0.28 2.44 6.28
3280000 0 0.2 2.48 6.44
3290000 0 0.16 2.88 6.16
3300000 0 0.12 2.6 6.16
3310000 0 0.08 2.6 6.32
3320000 0 0.2 2.12 6.48
3330000 0 0.24 2.4 6.56
3340000 0 0.08 2.4 6.4
3350000 0 0.16 2.48 6.24
3360000 0 0.12 2.72 6.64
3370000 0 0.16 2.64 6.48
3380000 0 0.08 2.36 6.28
3390000 0 0.24 2.72 6.2
3400000 0 0.12 2.76 6.52
3410000 0 0 2.56 6.52
3420000 0 0.12 2.24 6.32
3430000 0 0.12 2.8 6.4
3440000 0 0.24 2.68 6.64
3450000 0 0.2 3.24 7.2
3460000 0 0.2 3.2 6.48
3470000 0 0.2 3.16 6.6
3480000 0 0.12 2.64 7.08
3490000 0 0.36 2.68 6.28
3500000 0 0.16 2.6 6.64
3510000 0 0.12 2.12 6.36
3520000 0 0.12 3 6.2
3530000 0 0.16 2.6 6.44
3540000 0 0.24 2.92 6.4
3550000 0 0 2.28 6.52
3560000 0 0.2 2.64 6.4
3570000 0 0.24 2.68 6.64
3580000 0 0.08 2.68 6.52
3590000 0 0.24 2.64 7.08
3600000 0 0.32 2.36 6.36
3610000 0 0.12 2.4 5.96
3620000 0 0.12 2.28 6.72
3630000 0 0.08 2.56 6.6
3640000 0 0.04 3.12 6.64
3650000 0 0.2 2.36 6.44
3660000 0 0.12 2.24 6.2
3670000 0 0.2 2.6 6.56
3680000 0 0.2 2.84 6.44
3690000 0 0.12 2.68 6.56
3700000 0 0.24 2.36 6.4
3710000 0 0.2 2.56 6.28
3720000 0 0.16 2.76 6.2
3730000 0 0.08 2.84 6.36
3740000 0 0.2 2.68 6.44
3750000 0 0.12 2.52 6.52
3760000 0 0.2 2.76 6.28
3770000 0 0.16 2.4 6.6
3780000 0 0.12 2.56 6.52
3790000 0 0.32 2.92 6.08
3800000 0 0.24 2.56 6.72
3810000 0 0.08 2.4 6.4
3820000 0 0.28 2.92 6.48
3830000 0 0.08 2.64 6.2
3840000 0 0.04 2.52 6.36
3850000 0 0.16 2.52 6
3860000 0 0.16 3 6.6
3870000 0 0 2.96 6.2
3880000 0 0.12 2.84 6.28
3890000 0 0.08 2.52 6.2
3900000 0 0.08 2.56 6.08
3910000 0 0.16 2.48 6.12
3920000 0 0.24 2.96 6.8
3930000 0 0.2 2.48 6.72
3940000 0 0.12 2.48 6.44
3950000 0 0.12 2.52 6.88
3960000 0 0.2 2.88 6.56
3970000 0 0.08 2.6 6.6
3980000 0 0 2.56 6.52
3990000 0 0.2 2.6 6.52
4000000 0 0.12 2.88 6.52
4010000 0 0.08 2.32 6.2
4020000 0 0.24 2.64 6.84
4030000 0 0.12 2.68 6.52
4040000 0 0.12 2.36 6.68
4050000 0 0.24 2.92 6.88
4060000 0 0.16 2.72 6.72
4070000 0 0.12 2.64 6.48
4080000 0 0.04 2.4 6.48
4090000 0 0.16 3 6.2
4100000 0 0.08 2.64 6.68
4110000 0 0.12 2.8 5.88
4120000 0 0.32 3.32 6.52
4130000 0 0.2 2.6 6.32
4140000 0 0.24 2.4 6.44
4150000 0 0.16 2.64 6.16
4160000 0 0.12 2.72 6.88
4170000 0 0.2 3.16 6.56
4180000 0 0.28 2.6 6.44
4190000 0 0.28 2.6 6.6
4200000 0 0.2 2.76 6.24
4210000 0 0.08 2.56 6.32
4220000 0 0.16 2.32 6
4230000 0 0.08 2.56 6.24
4240000 0 0.28 2.92 6.8
4250000 0 0.16 2.68 6.52
4260000 0 0.2 3.28 6.52
4270000 0 0.08 2.52 6.6
