time,fx,fy,fz
10000.0,121.721,338.817,4.99883
20000.0,67.2078,72.7919,98.9764
30000.0,169.378,83.238,67.598
40000.0,-91.2533,0.064837,-69.1705
50000.0,177.971,68.6344,-40.1451
60000.0,136.708,-10.6432,-62.4062
70000.0,12.5215,39.1157,83.9268
80000.0,63.0482,-181.937,67.2958
90000.0,180.956,-15.0809,-135.569
100000.0,170.85,-62.9122,-33.8115
110000.0,-74.0885,184.976,60.3024
120000.0,-185.831,113.634,-13.8244
130000.0,-8.68202,-5.90632,14.6538
140000.0,-28.9875,42.8598,151.419
150000.0,-96.1804,323.355,-70.4624
160000.0,52.1813,177.438,-87.5158
170000.0,114.759,-15.294,-48.0172
180000.0,-11.0092,145.15,65.6138
190000.0,194.452,-14.8215,-11.6066
200000.0,-29.2073,-46.7751,-55.6961
210000.0,18.1501,166.078,-15.4607
220000.0,57.1271,62.8467,157.527
230000.0,105.948,-17.2204,142.866
240000.0,182.522,178.193,-101.022
250000.0,50.6235,196.254,-65.4773
260000.0,77.3757,-74.749,16.2947
270000.0,-41.9153,-32.2418,-170.893
280000.0,-152.125,181.837,-172.111
290000.0,-110.905,104.742,-28.565
300000.0,153.247,-24.0617,202.611
310000.0,85.4336,45.6686,119.754
320000.0,-183.57,-311.176,162.256
330000.0,-117.409,-197.047,204.219
340000.0,34.8436,88.2797,71.0769
350000.0,-81.5724,40.6921,-11.9767
360000.0,48.934,-341.299,103.693
370000.0,-104.673,-89.2887,91.9843
380000.0,35.7432,-52.5162,-42.6395
390000.0,108.743,79.2847,-268.285
400000.0,88.7263,123.694,54.8647
410000.0,-145.073,-7.02105,-42.0634
420000.0,-54.508,98.6727,9.51718
430000.0,78.9407,238.762,-46.5746
440000.0,136.04,-94.6201,43.4824
450000.0,-30.1246,57.5748,-137.669
460000.0,-147.806,-55.9877,-192.152
470000.0,-45.4248,10.1311,109.387
480000.0,-13.2157,421.64,-489.586
490000.0,94.6091,77.2273,-172.511
500000.0,111.409,-13.0154,102.628
510000.0,22.2978,157.009,-72.9595
520000.0,98.5231,-299.036,71.4534
530000.0,67.4259,118.854,-171.042
540000.0,10.3197,220.118,-146.031
550000.0,20.3014,76.8575,0.238199
560000.0,56.5054,59.4302,-70.9348
570000.0,0.233997,126.606,93.6947
580000.0,166.983,-398.475,281.462
590000.0,-99.9583,269.612,2.55622
600000.0,-176.885,349.645,-53.9906
610000.0,-106.578,-25.6211,-277.137
620000.0,165.171,241.98,5.44947
630000.0,-109.954,106.7,63.2927
640000.0,-108.603,-76.5,-155.783
650000.0,-43.9362,549.69,-380.686
660000.0,145.552,-63.794,20.6986
670000.0,68.4176,90.3216,-51.2574
680000.0,-13.2929,119.3,-175.66
690000.0,168.498,-308.439,199.721
700000.0,-118.899,-26.8623,-76.4439
710000.0,-75.8408,21.3414,-4.82773
720000.0,-120.252,400.964,-135.954
730000.0,135.008,-144.352,106.203
740000.0,83.8054,419.552,-385.031
750000.0,116.214,-279.12,56.1457
760000.0,70.298,66.8459,-161.2
770000.0,52.2283,-155.096,40.2566
780000.0,-100.309,-49.9499,72.7538
790000.0,-71.7601,-8.78153,72.0584
800000.0,-11.6219,273.327,-42.6233
810000.0,-7.34737,-374.988,301.754
820000.0,9.25927,71.2155,-47.3371
830000.0,247.726,-226.963,153.193
840000.0,52.871,-43.7355,-131.046
850000.0,-133.943,-215.43,103.552
860000.0,204.751,-104.088,152.909
870000.0,224.405,-234.667,360.904
880000.0,250.457,-328.821,253.063
890000.0,75.5622,-29.5343,158.58
900000.0,84.139,12.0154,160.374
910000.0,-75.5597,63.2841,6.70261
920000.0,-62.2792,-111.877,165.851
930000.0,-103.987,-62.8326,-105.177
940000.0,17.8871,-296.856,154.585
950000.0,51.9167,-363.39,131.475
960000.0,110.64,-274.662,111.872
970000.0,73.0022,79.1719,-190.334
980000.0,24.1094,-58.3488,214.029
990000.0,65.2243,-79.2459,196.724
1000000.0,-81.6356,-23.9095,44.1785
