time,fx,fy,fz
10000.0,-82.8072,-110.107,99.0146
20000.0,75.1166,197.991,-243.489
30000.0,-104.504,238.759,239.83
40000.0,-7.90866,-239.792,54.3387
50000.0,-155.026,-26.7789,-30.4795
60000.0,-239.662,62.1069,-57.992
70000.0,33.3943,150.602,5.4586
80000.0,-47.918,-53.5063,-108.814
90000.0,402.479,201.86,110.804
100000.0,-358.255,-17.3645,64.8899
110000.0,57.7167,16.3901,-190.784
120000.0,116.454,227.037,93.6951
130000.0,-161.665,81.2254,31.8331
140000.0,-133.973,137.049,-51.6972
150000.0,48.2755,-155.17,335.885
160000.0,-114.602,140.84,-177.027
170000.0,-60.0604,42.2761,-32.5538
180000.0,269.277,94.5766,25.9437
190000.0,123.697,0.15197,110.866
200000.0,223.728,-142.244,68.5946
210000.0,231.469,94.9757,-94.8976
220000.0,226.898,-182.198,18.256
230000.0,-98.143,34.4081,-104.462
240000.0,147.779,19.5783,320.075
250000.0,301.186,-168.485,-124.592
260000.0,45.9318,208.56,-429.274
270000.0,-96.3477,106.454,-187.177
280000.0,45.8839,114.617,-187.082
290000.0,-89.6918,-65.8182,-26.2668
300000.0,216.298,-215.604,139.453
310000.0,-79.8846,4.31265,-77.9782
320000.0,42.6466,48.6479,-125.472
330000.0,155.877,1.85829,40.5185
340000.0,16.4,-140.012,56.9297
350000.0,-37.7165,-9.23041,-148.879
360000.0,-74.1421,67.8913,-75.2031
370000.0,-203.251,-124.172,68.8682
380000.0,195.79,-22.7408,98.1322
390000.0,126.576,-160.421,199.863
400000.0,40.9259,65.3889,55.081
410000.0,-53.1072,-120.412,140.845
420000.0,-197.549,-33.0397,27.0302
430000.0,214.391,3.74384,-71.5974
440000.0,-153.879,108.304,68.7747
450000.0,56.4204,129.141,103.687
460000.0,69.787,-36.1105,-313.746
470000.0,142.275,-7.80942,-13.1659
480000.0,60.8179,-64.9401,70.4268
490000.0,303.991,24.8328,-148.755
500000.0,108.081,76.7036,-70.6398
510000.0,77.4694,-168.962,-108.856
520000.0,54.3742,-93.5214,22.1565
530000.0,-5.85429,277.191,79.1517
540000.0,-97.6476,-95.8762,-229.364
550000.0,109.016,-41.9316,-67.7878
560000.0,66.7739,-107.83,-312.048
570000.0,89.8707,-88.4205,-136.614
580000.0,-52.8063,205.653,115.615
590000.0,-77.4516,-68.2,62.3808
600000.0,105.646,-253.235,-50.5187
610000.0,191.306,67.8887,-419.368
620000.0,-141.999,94.8821,191.792
630000.0,89.4588,17.5165,103.022
640000.0,59.0121,170.054,-173.583
650000.0,26.9451,34.145,183.391
660000.0,-107.111,-117.609,67.7858
670000.0,20.6752,0.921325,296.692
680000.0,-55.6261,136.314,-10.6813
690000.0,-38.3683,-93.2476,37.4926
700000.0,-107.362,151.065,138.595
710000.0,172.329,-15.6843,-117.321
720000.0,107.079,-4.89856,294.57
730000.0,-112.88,304.328,81.7305
740000.0,-84.654,77.3796,158.933
750000.0,-201.268,195.31,118.998
760000.0,10.8451,-144.979,-55.4244
770000.0,-123.085,-103.434,78.118
780000.0,-13.5717,-71.5104,-318.07
790000.0,124.696,-24.7207,-48.82
800000.0,102.298,45.7978,10.3885
810000.0,128.669,-130.892,33.0137
820000.0,211.099,-84.4082,184.383
830000.0,266.58,-40.0652,29.5819
840000.0,-96.8235,-40.5803,-137.198
850000.0,414.489,68.5078,21.1711
860000.0,25.6083,196.073,-204.789
870000.0,-41.5189,151.759,-367.329
880000.0,-68.6561,-71.8085,66.2671
890000.0,97.3101,-178.214,-35.1054
900000.0,73.0787,101.739,213.289
910000.0,-55.5539,106.269,323.307
920000.0,-112.201,102.739,-26.9578
930000.0,80.1442,78.0981,35.5402
940000.0,208.227,-28.376,-256.859
950000.0,-333.202,100.237,183.208
960000.0,44.7466,171.741,24.4475
970000.0,-23.7128,-182.024,-47.922
980000.0,166.528,94.1368,1.56818
990000.0,-96.2357,143.257,-252.041
1000000.0,47.7286,36.3503,-49.6898
