# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
212000 0 0 2.96 7.36
213000 0 0 2.32 7.88
214000 0 0 2.36 7.08
215000 0 0 2.2 7.24
216000 0 0 2.4 7.4
217000 0 0 2.56 7.2
218000 0 0 2.36 7.48
219000 0 0.04 2.36 7.24
220000 0 0 2.24 7.04
221000 0 0 2.56 7.28
222000 0 0 2.08 6.92
223000 0 0.04 2.2 7.32
224000 0 0 2.56 7.32
225000 0 0 2.48 7.28
226000 0 0 2.48 7.08
227000 0 0 2.24 7.12
228000 0 0 2.56 7.32
229000 0 0 2.36 7.32
230000 0 0 1.96 7.24
231000 0 0 2.32 7.08
232000 0 0 2.2 6.8
233000 0 0 2.4 7.56
234000 0 0.04 2.4 7.28
235000 0 0 2.04 6.96
236000 0 0 2.56 6.72
237000 0 0 2.48 7.16
238000 0 0 2.4 7.2
239000 0 0.04 2.56 7.32
240000 0 0 2.68 7.28
241000 0 0 2.24 7.12
242000 0 0 2.72 7.4
243000 0 0 2.2 7.36
244000 0 0.04 2.52 7.6
245000 0 0 2.68 7.72
246000 0 0 2.24 7.4
247000 0 0 2.48 7.12
248000 0 0 2.4 7.4
249000 0 0 2.16 7.24
250000 0 0 2.44 7.44
251000 0 0 2 7.2
252000 0 0 2.36 7.16
253000 0 0 2.56 7.72
254000 0 0 2.4 7.32
255000 0 0 2.44 7.24
256000 0 0 2.04 7.44
257000 0 0 1.92 7.24
258000 0 0.04 2.6 7.44
259000 0 0.04 2.4 7.32
260000 0 0 2.4 7.4
261000 0 0 2.24 7.28
262000 0 0 2 7.52
263000 0 0 2.36 7.72
264000 0 0 2.24 7.12
265000 0 0 2.24 7.28
266000 0 0 2.56 7.16
267000 0 0.04 2.08 7.4
268000 0 0.04 2.32 7.56
269000 0 0 2.4 6.8
270000 0 0 2.24 7.2
271000 0 0 2.36 7.16
272000 0 0.04 2.64 7.36
273000 0 0 2.48 7.28
274000 0 0 2.6 7.56
275000 0 0 2.2 7.2
276000 0 0 2.4 7.12
277000 0 0 2.2 7.32
278000 0 0 2.48 7.56
279000 0 0 2.56 7.24
280000 0 0 2.6 7.16
281000 0 0 2.16 7.16
282000 0 0 2.6 7.04
283000 0 0 2.92 7.44
284000 0 0 1.92 7
285000 0 0 2.36 7.24
286000 0 0 2.32 7.4
287000 0 0 2.56 7.48
288000 0 0 2.16 7.6
289000 0 0 2.12 7.68
290000 0 0 2.48 7.28
291000 0 0 2.6 7.44
292000 0 0 2.48 7.28
293000 0 0 2.56 7.52
294000 0 0 1.76 7.56
295000 0 0 2.72 6.88
296000 0 0 2.08 7.28
297000 0 0 1.6 7.12
298000 0 0.04 2.2 7.08
299000 0 0 2 7.4
300000 0 0 2.44 7.2
301000 0 0 2.24 7.6
302000 0 0 2.44 7.48
303000 0 0 2.72 7.36
304000 0 0 2.32 7.4
305000 0 0 2.24 7.12
306000 0 0 2.68 7.28
307000 0 0 2.08 7.44
308000 0 0 2.16 7.52
309000 0 0 2.52 7.36
310000 0 0 2.24 7.24
311000 0 0 2.16 7.48
312000 0 0.04 2.48 7.24
313000 0 0 2.24 7.52
314000 0 0.04 2.08 7.16
315000 0 0.04 2.64 7.36
316000 0 0 2.2 7.2
317000 0 0 1.8 6.68
318000 0 0 2.08 7.04
319000 0 0 2.24 6.84
320000 0 0 2.56 7.04
321000 0 0 2.36 7.2
322000 0 0 2.32 7.44
323000 0 0 2.52 7.36
324000 0 0 2.28 7.72
325000 0 0.04 2.08 7.32
326000 0 0 2.2 7.4
327000 0 0 2.36 7.2
328000 0 0 2.56 7.08
329000 0 0 2.48 6.8
330000 0 0 2.36 7.4
331000 0 0 2.52 7.36
332000 0 0 2.64 7.4
333000 0 0 2.28 7.24
334000 0 0 2.04 7.08
335000 0 0 2.08 7
336000 0 0 2.08 7.32
337000 0 0 2.4 7.16
338000 0 0 2.04 7.44
339000 0 0 2.12 7.48
340000 0 0 2.32 7.72
341000 0 0 2.36 7.24
342000 0 0 2.48 7.08
343000 0 0 2.56 7.4
344000 0 0 1.96 7.16
345000 0 0 2.2 7.24
346000 0 0 2.52 7.36
347000 0 0 2.36 7.08
348000 0 0 2.44 7.36
349000 0 0 2.48 7.32
350000 0 0 2.2 6.92
351000 0 0 2.4 7.04
352000 0 0 2.44 7.4
353000 0 0 2.12 7.2
354000 0 0 2.28 7.16
355000 0 0 2.4 7.28
356000 0 0 2 7.44
357000 0 0 2.28 7.48
358000 0 0 2.28 7.2
359000 0 0 2.32 7.28
360000 0 0.04 3.04 7.4
361000 0 0 2.16 6.72
362000 0 0 2.44 6.88
363000 0 0.04 2.28 7
364000 0 0 2.36 7.32
365000 0 0 2.36 7.24
366000 0 0 2.36 7.4
367000 0 0 2.64 7.32
368000 0 0 2 7.28
369000 0 0 1.96 7.04
370000 0 0 2.64 7.08
371000 0 0 2.2 6.88
372000 0 0 2.08 6.88
373000 0 0 2.48 6.8
374000 0 0 2.16 7.12
375000 0 0 1.56 7.12
376000 0 0 2.36 7.4
377000 0 0 2.08 7.08
378000 0 0 2.84 7.56
379000 0 0 2.56 7.2
380000 0 0 2.48 7
381000 0 0 2.32 7.24
382000 0 0 2.32 7.6
383000 0 0 2.68 7.36
384000 0 0.04 2.6 7.4
385000 0 0 2.84 7.52
386000 0 0 2.16 7.44
387000 0 0 2.44 7.36
388000 0 0 2.2 7.72
389000 0 0 2.72 7.12
390000 0 0.04 2.36 7.44
391000 0 0 2.44 7.36
392000 0 0 2.52 7.4
393000 0 0 3 7.24
394000 0 0.04 2.6 7.48
395000 0 0 2.4 7.32
396000 0 0 2.48 7.4
397000 0 0 2.04 7.44
398000 0 0 2.8 7.28
399000 0 0 2.52 7.32
400000 0 0 2.64 7.36
401000 0 0 2.4 7.2
402000 0 0 2.36 7.2
403000 0 0 2.44 7.08
404000 0 0 1.84 7.28
405000 0 0 2.12 7.48
406000 0 0 2.16 7.4
407000 0 0 2.56 7.52
408000 0 0 2.64 7.52
409000 0 0 2.8 7.6
410000 0 0 2.64 7.64
411000 0 0 2.6 7.24
412000 0 0.08 1.96 7.04
413000 0 0 2.24 7.24
414000 0 0 2.2 6.8
415000 0 0 2.36 7.28
416000 0 0 2.28 7
417000 0 0 2.6 7.32
418000 0 0 1.84 7.2
419000 0 0 2.24 6.96
420000 0 0.04 2.6 6.64
421000 0 0 2.32 6.88
422000 0 0 2.36 7.08
423000 0 0 2.32 7.48
424000 0 0 2.24 7.48
425000 0 0 2.16 7.4
426000 0 0 2.56 7.44
427000 0 0 2.84 7.76
428000 0 0 3.08 7.56
429000 0 0 2.56 7.36
430000 0 0 2.36 7.4
431000 0 0 2.36 7.76
432000 0 0 2.6 7.76
433000 0 0 2.56 6.88
434000 0 0 2.48 7.08
435000 0 0 2.12 7.32
436000 0 0 2.32 6.8
437000 0 0 2.16 7.6
438000 0 0 2.56 7.48
439000 0 0 2.24 6.72
440000 0 0.04 2.28 6.8
441000 0 0 2.48 7.56
442000 0 0 2.92 7.44
443000 0 0 2.52 7.44
444000 0 0 2.52 7.36
445000 0 0 2.4 7.4
446000 0 0 2.32 7.16
447000 0 0.04 2.24 7.52
448000 0 0 2.32 6.96
449000 0 0 2.4 6.76
450000 0 0 2.32 7.04
451000 0 0 2.32 6.96
452000 0 0 2.32 6.8
453000 0 0 2.6 6.96
454000 0 0 2 7.2
455000 0 0 2.16 7
456000 0 0 2.36 6.92
457000 0 0 2.36 7.24
458000 0 0.04 2 6.88
459000 0 0 2.24 7.48
460000 0 0 2.6 7.2
461000 0 0 2.56 7.52
462000 0 0 2.16 7.04
463000 0 0 2.6 7.08
464000 0 0 2.88 7.44
465000 0 0 2.8 7.44
466000 0 0 2.56 7
467000 0 0 2.36 7.16
468000 0 0 2.52 7.04
469000 0 0 2.48 6.96
470000 0 0 2.04 7.28
471000 0 0 2.4 7.2
472000 0 0 2.32 7.28
473000 0 0 2.36 7.08
474000 0 0 1.56 6.88
475000 0 0 2.24 7.28
