# Time-averaged data for fix msd
# TimeStep c_msd[4]
1000 0.276024
2000 1.09145
3000 1.64756
4000 2.02299
5000 2.26956
6000 2.48202
7000 2.72128
8000 2.95964
9000 3.12543
10000 3.50654
11000 3.72457
12000 3.79986
13000 3.89956
14000 4.05616
15000 4.30467
16000 4.66264
17000 4.7388
18000 4.87919
19000 5.04563
20000 5.26314
21000 5.42359
22000 5.56834
23000 5.73572
24000 5.70135
25000 5.8507
26000 5.99404
27000 6.11961
28000 6.2346
29000 6.42407
30000 6.51204
31000 6.63703
32000 6.77517
33000 6.93521
34000 7.10071
35000 7.33533
36000 7.30127
37000 7.31008
38000 7.47357
39000 7.42485
40000 7.5416
41000 7.52807
42000 7.49296
43000 7.58487
44000 7.69355
45000 7.68094
46000 7.93058
47000 8.19043
48000 8.21437
49000 8.20881
50000 8.16775
51000 8.24715
52000 8.29362
53000 8.36473
54000 8.51096
55000 8.7597
56000 8.85884
57000 9.20206
58000 9.18419
59000 9.304
60000 9.53767
61000 9.739
62000 9.83735
63000 9.74318
64000 9.70493
65000 9.53725
66000 9.35416
67000 9.3949
68000 9.52324
69000 9.62249
70000 9.71814
71000 9.78749
72000 9.99111
73000 10.1909
74000 10.2975
75000 10.2291
76000 10.1494
77000 10.1215
78000 9.83134
79000 9.78325
80000 9.8277
81000 9.78286
82000 9.95566
83000 10.1374
84000 10.1421
85000 10.228
86000 10.2751
87000 10.2239
88000 10.26
89000 10.2739
90000 10.1777
91000 10.0611
92000 10.2425
93000 10.2059
94000 10.245
95000 10.1991
96000 10.1271
97000 10.311
98000 10.3218
99000 10.4135
100000 10.3301
101000 10.3869
102000 10.4729
103000 10.5788
104000 10.6494
105000 10.747
106000 11.0507
107000 11.3585
108000 11.5414
109000 11.38
110000 11.1994
111000 11.3621
112000 11.3049
113000 11.1911
114000 11.2437
115000 11.4044
116000 11.4894
117000 11.676
118000 11.8393
119000 11.8608
120000 11.8056
121000 11.7531
122000 11.5239
123000 11.2526
124000 11.5268
125000 11.6814
126000 11.9144
127000 12.0136
128000 11.867
129000 12.1095
130000 12.1734
131000 12.2069
132000 12.2159
133000 12.2038
134000 12.1546
135000 12.3725
136000 12.6553
137000 12.5811
138000 12.4911
139000 12.4075
140000 12.4974
141000 12.7253
142000 12.7976
143000 12.7346
144000 12.839
145000 12.7754
146000 12.7037
147000 13.1141
148000 13.4021
149000 13.3029
150000 13.5788
151000 13.8098
152000 13.6483
153000 13.4346
154000 13.6086
155000 13.6991
156000 13.638
157000 13.715
158000 13.5628
159000 13.6274
160000 13.5303
161000 13.4418
162000 13.5149
163000 13.4122
164000 13.7584
165000 13.7239
166000 13.8032
167000 13.9412
168000 13.8205
169000 13.6972
