# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
1000 8.62739 8.43871 8.72526
2000 8.62739 8.43871 8.72526
3000 8.62739 8.43871 8.72526
4000 8.62739 8.43871 8.72526
5000 8.62739 8.43871 8.72526
6000 8.62739 8.43871 8.72526
7000 8.62739 8.43871 8.72526
8000 8.62739 8.43871 8.72526
9000 8.62739 8.43871 8.72526
10000 8.62739 8.43871 8.72526
11000 8.62739 8.43871 8.72526
12000 8.62739 8.43871 8.72526
13000 8.62739 8.43871 8.72526
14000 8.62739 8.43871 8.72526
15000 8.62739 8.43871 8.72526
16000 8.62739 8.43871 8.72526
17000 8.62739 8.43871 8.72526
18000 8.62739 8.43871 8.72526
19000 8.62739 8.43871 8.72526
20000 8.62739 8.43871 8.72526
21000 8.62739 8.43871 8.72526
22000 8.62739 8.43871 8.72526
23000 8.62739 8.43871 8.72526
24000 8.62739 8.43871 8.72526
25000 8.62739 8.43871 8.72526
26000 8.62739 8.43871 8.72526
27000 8.62739 8.43871 8.72526
28000 8.62739 8.43871 8.72526
29000 8.62739 8.43871 8.72526
30000 8.62739 8.43871 8.72526
31000 8.62739 8.43871 8.72526
32000 8.62739 8.43871 8.72526
33000 8.62739 8.43871 8.72526
34000 8.62739 8.43871 8.72526
35000 8.62739 8.43871 8.72526
36000 8.62739 8.43871 8.72526
37000 8.62739 8.43871 8.72526
38000 8.62739 8.43871 8.72526
39000 8.62739 8.43871 8.72526
40000 8.62739 8.43871 8.72526
41000 8.62739 8.43871 8.72526
42000 8.62739 8.43871 8.72526
43000 8.62739 8.43871 8.72526
44000 8.62739 8.43871 8.72526
45000 8.62739 8.43871 8.72526
46000 8.62739 8.43871 8.72526
47000 8.62739 8.43871 8.72526
48000 8.62739 8.43871 8.72526
49000 8.62739 8.43871 8.72526
50000 8.62739 8.43871 8.72526
51000 8.62739 8.43871 8.72526
52000 8.62739 8.43871 8.72526
53000 8.62739 8.43871 8.72526
54000 8.62739 8.43871 8.72526
55000 8.62739 8.43871 8.72526
56000 8.62739 8.43871 8.72526
57000 8.62739 8.43871 8.72526
58000 8.62739 8.43871 8.72526
59000 8.62739 8.43871 8.72526
60000 8.62739 8.43871 8.72526
61000 8.62739 8.43871 8.72526
62000 8.62739 8.43871 8.72526
63000 8.62739 8.43871 8.72526
64000 8.62739 8.43871 8.72526
65000 8.62739 8.43871 8.72526
66000 8.62739 8.43871 8.72526
67000 8.62739 8.43871 8.72526
68000 8.62739 8.43871 8.72526
69000 8.62739 8.43871 8.72526
70000 8.62739 8.43871 8.72526
71000 8.62739 8.43871 8.72526
72000 8.62739 8.43871 8.72526
73000 8.62739 8.43871 8.72526
74000 8.62739 8.43871 8.72526
75000 8.62739 8.43871 8.72526
76000 8.62739 8.43871 8.72526
77000 8.62739 8.43871 8.72526
78000 8.62739 8.43871 8.72526
79000 8.62739 8.43871 8.72526
80000 8.62739 8.43871 8.72526
81000 8.62739 8.43871 8.72526
82000 8.62739 8.43871 8.72526
83000 8.62739 8.43871 8.72526
84000 8.62739 8.43871 8.72526
85000 8.62739 8.43871 8.72526
86000 8.62739 8.43871 8.72526
87000 8.62739 8.43871 8.72526
88000 8.62739 8.43871 8.72526
89000 8.62739 8.43871 8.72526
90000 8.62739 8.43871 8.72526
91000 8.62739 8.43871 8.72526
92000 8.62739 8.43871 8.72526
93000 8.62739 8.43871 8.72526
94000 8.62739 8.43871 8.72526
95000 8.62739 8.43871 8.72526
96000 8.62739 8.43871 8.72526
97000 8.62739 8.43871 8.72526
98000 8.62739 8.43871 8.72526
99000 8.62739 8.43871 8.72526
100000 8.62739 8.43871 8.72526
101000 8.62739 8.43871 8.72526
102000 8.62739 8.43871 8.72526
103000 8.62739 8.43871 8.72526
104000 8.62739 8.43871 8.72526
105000 8.62739 8.43871 8.72526
106000 8.62739 8.43871 8.72526
107000 8.62739 8.43871 8.72526
108000 8.62739 8.43871 8.72526
109000 8.62739 8.43871 8.72526
110000 8.62739 8.43871 8.72526
111000 8.62739 8.43871 8.72526
112000 8.62739 8.43871 8.72526
113000 8.62739 8.43871 8.72526
114000 8.62739 8.43871 8.72526
115000 8.62739 8.43871 8.72526
116000 8.62739 8.43871 8.72526
